,Custom CNN,,,,,DenseNet,,,,,EfficientNet,,,,,Hybrid CNN,,,,,ResNet50 Augmented,,,,,ResNet50 Non-Augmented,,,
Class Name,Precision,Recall,F1,Support,,Precision,Recall,F1,Support,Support,Precision,Recall,F1,Support,,Precision,Recall,F1,Support,,Precision,Recall,F1,Support,,Precision,Recall,F1,Support
AstrocitomaT1,0.891,0.875,0.883,56,,0.8793,0.9107,0.8947,56,,1,1,1,56,,0.9821,0.9821,0.9821,56,,0.8431,0.7679,0.8037,56,,0.96,1,0.98,26
AstrocitomaT1C+,0.98,0.857,0.914,56,,0.9592,0.8393,0.8952,56,,0.9615,0.8929,0.9259,56,,1,1,1,56,,0.875,0.75,0.8077,56,,1,0.94,0.97,35
AstrocitomaT2,0.889,0.714,0.792,56,,0.9348,0.7679,0.8431,56,,0.9783,0.8036,0.8824,56,,0.9811,0.9286,0.9541,56,,0.8409,0.6607,0.74,56,,1,0.81,0.89,26
CarcinomaT1,1,0.909,0.952,55,,1,0.9636,0.9815,55,,1,0.9818,0.9908,55,,1,0.9818,0.9908,55,,0.9608,0.8909,0.9245,55,,0.91,1,0.95,10
CarcinomaT1C+,0.963,0.945,0.954,55,,1,0.9091,0.9524,55,,1,1,1,55,,1,0.9818,0.9908,55,,1,0.8364,0.9109,55,,1,0.88,0.94,17
CarcinomaT2,0.981,0.945,0.963,55,,1,0.9818,0.9908,55,,1,1,1,55,,1,1,1,55,,0.9787,0.8364,0.902,55,,1,1,1,11
EpendimomaT1,1,0.891,0.942,55,,0.9167,1,0.9565,55,,0.9649,1,0.9821,55,,0.9821,1,0.991,55,,0.8333,0.9091,0.8696,55,,1,1,1,7
EpendimomaT1C+,1,0.982,0.991,55,,0.9107,0.9273,0.9189,55,,0.9815,0.9636,0.9725,55,,0.9818,0.9818,0.9818,55,,0.7966,0.8545,0.8246,55,,1,1,1,7
EpendimomaT2,0.821,1,0.902,55,,0.9615,0.9091,0.9346,55,,0.9649,1,0.9821,55,,1,1,1,55,,0.7419,0.8364,0.7863,55,,1,0.75,0.86,8
GangliogliomaT1,0.966,1,0.982,56,,1,0.9821,0.991,56,,1,1,1,56,,1,1,1,56,,0.9167,0.9821,0.9483,56,,0.75,1,0.86,3
GangliogliomaT1C+,1,1,1,55,,0.9818,0.9818,0.9818,55,,1,1,1,55,,1,1,1,55,,0.9153,0.9818,0.9474,55,,1,1,1,3
GangliogliomaT2,0.946,0.946,0.946,56,,0.9016,0.9821,0.9402,56,,0.9649,0.9821,0.9735,56,,0.9655,1,0.9825,56,,0.875,0.875,0.875,56,,0.75,1,0.86,3
GerminomaT1,0.982,1,0.991,55,,0.9649,1,0.9821,55,,1,1,1,55,,1,1,1,55,,0.8983,0.9636,0.9298,55,,1,1,1,4
GerminomaT1C+,0.964,0.982,0.973,55,,0.9821,1,0.991,55,,0.9483,1,0.9735,55,,1,1,1,55,,0.791,0.9636,0.8689,55,,0.86,1,0.92,6
GerminomaT2,0.982,1,0.991,55,,0.9286,0.9455,0.9369,55,,1,0.9818,0.9908,55,,1,1,1,55,,0.8833,0.9636,0.9217,55,,0.71,1,0.83,5
GlioblastomaT1,0.982,0.982,0.982,56,,1,0.9286,0.963,56,,0.9655,1,0.9825,56,,1,1,1,56,,0.9796,0.8571,0.9143,56,,1,1,1,9
GlioblastomaT1C+,0.932,0.982,0.957,56,,0.9818,0.9643,0.973,56,,0.9825,1,0.9912,56,,0.9818,0.9643,0.973,56,,0.9608,0.875,0.9159,56,,0.93,1,0.97,14
GlioblastomaT2,0.914,0.964,0.938,55,,0.9107,0.9273,0.9189,55,,0.9821,1,0.991,55,,0.9643,0.9818,0.973,55,,0.7344,0.8545,0.7899,55,,1,1,1,8
GranulomaT1,0.982,1,0.991,55,,1,0.9818,0.9908,55,,1,1,1,55,,1,1,1,55,,0.96,0.8727,0.9143,55,,1,0.8,0.89,5
GranulomaT1C+,0.982,0.982,0.982,55,,0.9815,0.9636,0.9725,55,,1,1,1,55,,1,0.9818,0.9908,55,,0.9455,0.9455,0.9455,55,,1,1,1,5
GranulomaT2,0.965,1,0.982,55,,0.9107,0.9273,0.9189,55,,0.9649,1,0.9821,55,,0.9322,1,0.9649,55,,0.8387,0.9455,0.8889,55,,1,1,1,2
MeduloblastomaT1,0.966,1,0.982,56,,0.9825,1,0.9912,56,,1,1,1,56,,1,1,1,56,,0.8966,0.9286,0.9123,56,,1,1,1,4
MeduloblastomaT1C+,0.931,0.982,0.956,55,,1,1,1,55,,1,1,1,55,,0.9821,1,0.991,55,,0.9583,0.8364,0.8932,55,,0.91,1,0.95,10
MeduloblastomaT2,0.897,0.929,0.912,56,,0.8615,1,0.9256,56,,0.9825,1,0.9912,56,,1,1,1,56,,0.7812,0.8929,0.8333,56,,0.75,1,0.86,6
MeningiomaT1,0.774,0.873,0.821,55,,0.8889,0.8727,0.8807,55,,0.9455,0.9455,0.9455,55,,0.9815,0.9636,0.9725,55,,0.6912,0.8545,0.7642,55,,0.95,0.98,0.96,41
MeningiomaT1C+,0.962,0.927,0.944,55,,0.9298,0.9636,0.9464,55,,1,0.9636,0.9815,55,,0.9649,1,0.9821,55,,0.8947,0.9273,0.9107,55,,0.98,0.95,0.96,56
MeningiomaT2,0.754,0.836,0.793,55,,0.907,0.7091,0.7959,55,,0.8868,0.8545,0.8704,55,,1,0.8727,0.932,55,,0.6538,0.6182,0.6355,55,,1,0.86,0.92,35
NeurocitomaT1,0.927,0.927,0.927,55,,0.963,0.9455,0.9541,55,,1,1,1,55,,0.9821,1,0.991,55,,0.92,0.8364,0.8762,55,,1,0.95,0.97,19
NeurocitomaT1C+,1,0.982,0.991,56,,1,0.9464,0.9725,56,,1,0.9643,0.9818,56,,1,0.9821,0.991,56,,0.9615,0.8929,0.9259,56,,1,1,1,34
NeurocitomaT2,0.961,0.875,0.916,56,,0.8525,0.9286,0.8889,56,,0.931,0.9643,0.9474,56,,1,0.9821,0.991,56,,0.8197,0.8929,0.8547,56,,0.83,1,0.91,15
OligodendrogliomaT1,0.932,1,0.965,55,,0.9818,0.9818,0.9818,55,,1,1,1,55,,0.9821,1,0.991,55,,0.9643,0.9818,0.973,55,,1,1,1,13
OligodendrogliomaT1C+,0.982,0.982,0.982,55,,1,1,1,55,,0.9818,0.9818,0.9818,55,,1,1,1,55,,0.9818,0.9818,0.9818,55,,1,1,1,11
OligodendrogliomaT2,0.962,0.911,0.936,56,,0.9623,0.9107,0.9358,56,,0.9821,0.9821,0.9821,56,,1,1,1,56,,0.9783,0.8036,0.8824,56,,0.82,0.9,0.86,10
PapilomaT1,0.965,0.982,0.973,56,,0.9016,0.9821,0.9402,56,,0.9492,1,0.9739,56,,1,0.9643,0.9818,56,,0.8125,0.9286,0.8667,56,,1,1,1,10
PapilomaT1C+,0.945,0.945,0.945,55,,0.9322,1,0.9649,55,,0.9483,1,0.9735,55,,1,1,1,55,,0.8308,0.9818,0.9,55,,1,0.94,0.97,16
PapilomaT2,0.948,0.982,0.965,56,,0.9643,0.9643,0.9643,56,,0.9825,1,0.9912,56,,0.9821,0.9821,0.9821,56,,0.8136,0.8571,0.8348,56,,0.91,1,0.95,10
SchwannomaT1,0.862,0.909,0.885,55,,0.9123,0.9455,0.9286,55,,0.9636,0.9636,0.9636,55,,0.9643,0.9818,0.973,55,,0.8824,0.8182,0.8491,55,,0.92,1,0.96,22
SchwannomaT1C+,0.961,0.891,0.925,55,,0.9412,0.8727,0.9057,55,,0.9811,0.9455,0.963,55,,1,0.9818,0.9908,55,,0.8627,0.8,0.8302,55,,1,1,1,29
SchwannomaT2,0.84,0.75,0.792,56,,0.8545,0.8393,0.8468,56,,0.873,0.9821,0.9244,56,,1,0.9821,0.991,56,,0.7083,0.6071,0.6538,56,,1,0.78,0.88,18
TuberculomaT1,0.982,1,0.991,55,,0.9821,1,0.991,55,,1,1,1,55,,0.9821,1,0.991,55,,0.931,0.9818,0.9558,55,,1,1,1,4
TuberculomaT1C+,0.93,0.964,0.946,55,,0.8689,0.9636,0.9138,55,,0.9483,1,0.9735,55,,0.9818,0.9818,0.9818,55,,0.9608,0.8909,0.9245,55,,1,0.92,0.96,12
TuberculomaT2,0.932,1,0.965,55,,0.9474,0.9818,0.9643,55,,1,0.9636,0.9815,55,,0.9322,1,0.9649,55,,0.7627,0.8182,0.7895,55,,0.67,0.8,0.73,5
_NORMALT1,0.959,0.839,0.895,56,,0.963,0.9286,0.9455,56,,1,0.9107,0.9533,56,,1,1,1,56,,0.9804,0.8929,0.9346,56,,1,1,1,37
_NORMALT2,0.944,0.927,0.936,55,,0.7903,0.8909,0.8376,55,,1,0.9636,0.9815,55,,0.9298,0.9636,0.9464,55,,0.8462,0.8,0.8224,55,,0.87,1,0.93,41
