epoch,train_loss,train_acc,val_loss,val_acc
1,3.3036,0.1612,2.8074,0.3441
2,2.6947,0.3311,2.4507,0.4493
3,2.4504,0.4128,2.2747,0.4932
4,2.3024,0.4693,2.1082,0.5589
5,2.2044,0.5026,2.0494,0.5754
6,1.7797,0.6543,1.3786,0.8209
7,1.3717,0.8114,1.1626,0.8936
8,1.1651,0.8967,1.0514,0.9236
9,1.0567,0.9317,0.9678,0.9499
10,0.9868,0.9520,0.9416,0.9511
11,0.9290,0.9702,0.8971,0.9639
12,0.8980,0.9773,0.8747,0.9634
13,0.8681,0.9819,0.8605,0.9692
14,0.8451,0.9884,0.8397,0.9704
15,0.8288,0.9918,0.8292,0.9725
16,0.8172,0.9923,0.8189,0.9741
17,0.8092,0.9936,0.8106,0.9758
18,0.8003,0.9952,0.8092,0.9778
19,0.7979,0.9949,0.8101,0.9737
20,0.7954,0.9948,0.8078,0.9749
21,0.7931,0.9961,0.8041,0.9754
22,0.7958,0.9938,0.8059,0.9770
23,0.7955,0.9953,0.8067,0.9741
24,0.7946,0.9941,0.8069,0.9766
25,0.7955,0.9943,0.8071,0.9749
